venue	lon	lat	countryCode	place	venueLabel	placeLabel	osm_way	website	address	eventVenueType	eventVenueTypeLabel	osm_node	osm_relation
Q100149502			FR	Q30974	Espace Croisé	Rouen				Q1329623	cultural center		
Q100151156	15.7255467	50.5420506	CZ	Q1000467	Dům dětí a mládeže, Hostinné	Hostinné		https://www.zusaddmhostinne.cz/ddm/	Školní 321, 543 71 Hostinné	Q1329623	cultural center		
Q100151730			DE	Q71064	Kulturhaus der Papierfabrik Weißenborn/Erzgebirge	Weißenborn				Q1329623	cultural center		
Q100151783	9.4179	48.69028	DE	Q82346	Quadrium	Wernau			Kirchheimer Staße  68-70, 73249 Wernau (Neckar)	Q1378975	convention center		
Q100159878	12.51137	50.67214	DE	Q20088	Hotel Schützenhaus	Wilkau-Haßlau		https://www.schuetzenhaus-wilkau-hasslau.de/	Culitzscher Straße 26, 08112 Wilkau-Haßlau	Q1329623	cultural center		
Q100234672	10.0878	50.83552	DE	Q13965923	Kulturhaus Dorndorf	Krayenberggemeinde		https://www.krayenberggemeinde.de/verzeichnis/visitenkarte.php?mandat=108052		Q1329623	cultural center		
Q100234683	10.12411	50.82396	DE	Q13965923	Kulturhaus Merkers	Krayenberggemeinde				Q1329623	cultural center		
Q100255698	11.0444	52.1894	DE	Q630423	Kulturhaus Harbke	Harbke		http://www.gemeinde-harbke.de/verzeichnis/objekt.php?mandat=138953	Halberstädter Straße 14, 39365 Harbke	Q1329623	cultural center		
Q100256389			UA		Alliance française Dnipro					Q1329623	cultural center		
Q100257524	11.26571	50.88904	DE	Q630334	Kulturhaus der Zentralklinik Bad Berka	Bad Berka				Q1329623	cultural center		
Q100276569	6.5870359	46.4002116	FR	Q273017	Palais des Festivités	Évian-les-Bains		https://www.evian-tourisme.com/loisir/palais-des-festivites-devian-evian-les-bains/		Q1378975	convention center		
Q100277071	12.59352	51.86919	DE	Q6837	Piesteritzer Hof	Lutherstadt Wittenberg				Q1329623	cultural center		
Q100313532	-97.7083206	26.1998329	US	Q868869	Harlingen Municipal Auditorium	Harlingen		http://www.myharlingen.us/page/arts.home	1204 Fair Park Boulevard, Harlingen, TX 78550	Q230752	auditorium		
Q100322173	7.278359	51.829383	DE	Q6910	Intergeneratives Zentrum	Dülmen			Bült 5, Dülmen	Q1329623	cultural center		
Q100333309	175.0648172	-41.1262047	NZ	Q23661	Expressions Whirinaki Arts and Entertainment Centre	Wellington		https://www.expressions.org.nz/	836 Fergusson Drive, Upper Hutt	Q1329623	cultural center		
Q100333309	175.0648172	-41.1262047	NZ	Q166002	Expressions Whirinaki Arts and Entertainment Centre	Upper Hutt		https://www.expressions.org.nz/	836 Fergusson Drive, Upper Hutt	Q1329623	cultural center		
Q100354282	11.856289	50.90242	DE	Q552692	Kulturhaus Völkerfreundschaft	Hermsdorf			Eisenberger Straße 83, 07629 Hermsdorf	Q1329623	cultural center		
